measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,163,India,1,Male,8,15-19 years,508,Chronic respiratory diseases,1,Number,1983,553.1085271566528,689.2697747024067,439.8746225470899
1,Deaths,163,India,2,Female,8,15-19 years,508,Chronic respiratory diseases,1,Number,1983,676.5202492873749,866.1002379654268,392.14382317667315
1,Deaths,163,India,1,Male,9,20-24 years,508,Chronic respiratory diseases,1,Number,1983,817.4488902876926,989.4911243910946,671.8146518143078
1,Deaths,163,India,2,Female,9,20-24 years,508,Chronic respiratory diseases,1,Number,1983,816.7165677938149,1069.4378333334703,441.78758476618475
1,Deaths,163,India,1,Male,10,25-29 years,508,Chronic respiratory diseases,1,Number,1983,1021.6038861624286,1340.4501309622203,834.9395764802622
1,Deaths,163,India,2,Female,10,25-29 years,508,Chronic respiratory diseases,1,Number,1983,883.0478297784721,1160.3661192718396,468.31560377082513
1,Deaths,163,India,1,Male,11,30-34 years,508,Chronic respiratory diseases,1,Number,1983,1411.0212145833098,1679.1447780461813,1165.2345503727875
1,Deaths,163,India,2,Female,11,30-34 years,508,Chronic respiratory diseases,1,Number,1983,1387.0331747001587,1831.4091827174718,760.568280337772
1,Deaths,163,India,1,Male,12,35-39 years,508,Chronic respiratory diseases,1,Number,1983,2536.4064358506635,3044.669786766707,2124.367456968908
1,Deaths,163,India,2,Female,12,35-39 years,508,Chronic respiratory diseases,1,Number,1983,2014.76416280612,2594.7510927835533,1160.0869710007623
1,Deaths,163,India,1,Male,13,40-44 years,508,Chronic respiratory diseases,1,Number,1983,4379.09992586661,5135.19129944158,3649.009094581455
1,Deaths,163,India,2,Female,13,40-44 years,508,Chronic respiratory diseases,1,Number,1983,3113.3170167064077,3946.3996214309836,1852.5922917859123
1,Deaths,163,India,1,Male,14,45-49 years,508,Chronic respiratory diseases,1,Number,1983,8005.899741873068,9136.372538188292,6733.628512129978
1,Deaths,163,India,2,Female,14,45-49 years,508,Chronic respiratory diseases,1,Number,1983,5865.181607649395,7340.072797181189,3794.617502873014
1,Deaths,163,India,1,Male,15,50-54 years,508,Chronic respiratory diseases,1,Number,1983,15645.309179887843,18279.149687382047,13032.119130197594
1,Deaths,163,India,2,Female,15,50-54 years,508,Chronic respiratory diseases,1,Number,1983,9530.8908465451,12062.658738559534,5906.894761866049
1,Deaths,163,India,1,Male,25,50-69 years,508,Chronic respiratory diseases,1,Number,1983,120695.15458648263,137340.99283262444,102482.34880526499
1,Deaths,163,India,2,Female,25,50-69 years,508,Chronic respiratory diseases,1,Number,1983,77862.44004625776,97814.13139856828,52524.15771029784
1,Deaths,163,India,1,Male,8,15-19 years,508,Chronic respiratory diseases,1,Number,1981,558.2915027712052,707.7273521968783,442.11043733614787
1,Deaths,163,India,2,Female,8,15-19 years,508,Chronic respiratory diseases,1,Number,1981,657.7092093490274,844.7754251734434,369.99679419589177
