measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,95,United Kingdom,1,Male,8,15-19 years,508,Chronic respiratory diseases,1,Number,1981,36.786407071473306,38.08706419009672,35.073484532384605
1,Deaths,95,United Kingdom,2,Female,8,15-19 years,508,Chronic respiratory diseases,1,Number,1981,16.575880195002775,17.089479718875342,16.086074712621826
1,Deaths,95,United Kingdom,1,Male,9,20-24 years,508,Chronic respiratory diseases,1,Number,1981,31.405872811863468,33.362368861673,30.05493148168847
1,Deaths,95,United Kingdom,2,Female,9,20-24 years,508,Chronic respiratory diseases,1,Number,1981,15.797837799406219,16.241588125256644,15.375536958913946
1,Deaths,95,United Kingdom,1,Male,10,25-29 years,508,Chronic respiratory diseases,1,Number,1981,30.513251281833078,31.730855624947548,29.670223995061573
1,Deaths,95,United Kingdom,2,Female,10,25-29 years,508,Chronic respiratory diseases,1,Number,1981,15.176087180018445,15.560702032196826,14.801658068822476
1,Deaths,95,United Kingdom,1,Male,11,30-34 years,508,Chronic respiratory diseases,1,Number,1981,34.21657432495657,35.32324338950714,33.31743497957389
1,Deaths,95,United Kingdom,2,Female,11,30-34 years,508,Chronic respiratory diseases,1,Number,1981,18.41995335960573,18.892038992125,17.937596603849872
1,Deaths,95,United Kingdom,1,Male,12,35-39 years,508,Chronic respiratory diseases,1,Number,1981,45.0590313997839,46.35617192866063,43.83933454995624
1,Deaths,95,United Kingdom,2,Female,12,35-39 years,508,Chronic respiratory diseases,1,Number,1981,26.050968974193886,26.73233283531158,25.371765191611768
1,Deaths,95,United Kingdom,1,Male,13,40-44 years,508,Chronic respiratory diseases,1,Number,1981,76.25915603825774,78.27933958674117,73.9372396228126
1,Deaths,95,United Kingdom,2,Female,13,40-44 years,508,Chronic respiratory diseases,1,Number,1981,53.55986979299055,55.08321451100574,52.11750626211474
1,Deaths,95,United Kingdom,1,Male,14,45-49 years,508,Chronic respiratory diseases,1,Number,1981,160.14967145577336,164.90184285544188,156.02343440100665
1,Deaths,95,United Kingdom,2,Female,14,45-49 years,508,Chronic respiratory diseases,1,Number,1981,115.86221701149142,119.03491622380193,112.54640864041372
1,Deaths,95,United Kingdom,1,Male,15,50-54 years,508,Chronic respiratory diseases,1,Number,1981,400.3094642513432,410.75368213157077,390.10186339729864
1,Deaths,95,United Kingdom,2,Female,15,50-54 years,508,Chronic respiratory diseases,1,Number,1981,275.1636874668594,282.63705930316615,267.8351578661993
1,Deaths,95,United Kingdom,1,Male,25,50-69 years,508,Chronic respiratory diseases,1,Number,1981,6156.002770448262,6270.887537508264,6042.070811527988
1,Deaths,95,United Kingdom,2,Female,25,50-69 years,508,Chronic respiratory diseases,1,Number,1981,2908.8046113086793,2965.301577165654,2842.1874648440994
1,Deaths,95,United Kingdom,1,Male,8,15-19 years,508,Chronic respiratory diseases,1,Number,1984,32.73478248378278,33.756217762006756,31.842328968791474
1,Deaths,95,United Kingdom,2,Female,8,15-19 years,508,Chronic respiratory diseases,1,Number,1984,15.67243377479366,16.190327618571704,15.19961642126747
1,Deaths,95,United Kingdom,1,Male,9,20-24 years,508,Chronic respiratory diseases,1,Number,1984,31.551660132913042,33.51806957542277,30.30570102092796
1,Deaths,95,United Kingdom,2,Female,9,20-24 years,508,Chronic respiratory diseases,1,Number,1984,17.261155842920896,17.833608006257585,16.47362027866043
1,Deaths,95,United Kingdom,1,Male,10,25-29 years,508,Chronic respiratory diseases,1,Number,1984,27.780070858351007,28.89560233217547,26.964377832292506
1,Deaths,95,United Kingdom,2,Female,10,25-29 years,508,Chronic respiratory diseases,1,Number,1984,15.669976797329742,16.07303271476297,15.286064937264518
1,Deaths,95,United Kingdom,1,Male,11,30-34 years,508,Chronic respiratory diseases,1,Number,1984,30.336652874194115,31.138161466260225,29.56598289965916
1,Deaths,95,United Kingdom,2,Female,11,30-34 years,508,Chronic respiratory diseases,1,Number,1984,19.093849736961154,19.599619849248402,18.62484716217153
1,Deaths,95,United Kingdom,1,Male,12,35-39 years,508,Chronic respiratory diseases,1,Number,1984,48.44285093111183,50.03695427558295,47.002646448867566
1,Deaths,95,United Kingdom,2,Female,12,35-39 years,508,Chronic respiratory diseases,1,Number,1984,28.837162783034564,29.706490951386197,28.024191250576074
1,Deaths,95,United Kingdom,1,Male,13,40-44 years,508,Chronic respiratory diseases,1,Number,1984,74.3458986156216,76.6004813741428,72.22683672324997
1,Deaths,95,United Kingdom,2,Female,13,40-44 years,508,Chronic respiratory diseases,1,Number,1984,52.20668633561047,53.73095939703404,50.702316926247626
1,Deaths,95,United Kingdom,1,Male,14,45-49 years,508,Chronic respiratory diseases,1,Number,1984,156.7603174046934,161.04094590173284,152.85269215052168
1,Deaths,95,United Kingdom,2,Female,14,45-49 years,508,Chronic respiratory diseases,1,Number,1984,106.00216297795272,108.70855058463144,103.3408772183609
1,Deaths,95,United Kingdom,1,Male,15,50-54 years,508,Chronic respiratory diseases,1,Number,1984,352.51183891412916,361.20739848840077,343.2938728844233
1,Deaths,95,United Kingdom,2,Female,15,50-54 years,508,Chronic respiratory diseases,1,Number,1984,250.68032197509928,256.92875225500165,243.53071980928104
1,Deaths,95,United Kingdom,1,Male,25,50-69 years,508,Chronic respiratory diseases,1,Number,1984,5941.8664637820875,6057.220323837983,5810.5163243874795
1,Deaths,95,United Kingdom,2,Female,25,50-69 years,508,Chronic respiratory diseases,1,Number,1984,3153.4751187019674,3208.669993250873,3074.006852839214
1,Deaths,95,United Kingdom,1,Male,8,15-19 years,508,Chronic respiratory diseases,1,Number,1980,36.89886445862001,38.44035216135322,34.71192984328636
1,Deaths,95,United Kingdom,2,Female,8,15-19 years,508,Chronic respiratory diseases,1,Number,1980,16.71928198100026,17.220805567720173,16.164331650279856
1,Deaths,95,United Kingdom,1,Male,9,20-24 years,508,Chronic respiratory diseases,1,Number,1980,32.24457865809855,33.97707725947158,30.984691018972377
1,Deaths,95,United Kingdom,2,Female,9,20-24 years,508,Chronic respiratory diseases,1,Number,1980,15.684889319583592,16.118064990536116,15.237743308101653
1,Deaths,95,United Kingdom,1,Male,10,25-29 years,508,Chronic respiratory diseases,1,Number,1980,31.362028422214227,32.25758447115275,30.646041376168107
1,Deaths,95,United Kingdom,2,Female,10,25-29 years,508,Chronic respiratory diseases,1,Number,1980,14.968873637061288,15.661269502789303,14.528938010689297
1,Deaths,95,United Kingdom,1,Male,11,30-34 years,508,Chronic respiratory diseases,1,Number,1980,35.05025270577081,36.23111554443991,34.16380118759547
1,Deaths,95,United Kingdom,2,Female,11,30-34 years,508,Chronic respiratory diseases,1,Number,1980,18.265621219961872,18.795352856080232,17.72809737379043
1,Deaths,95,United Kingdom,1,Male,12,35-39 years,508,Chronic respiratory diseases,1,Number,1980,45.10681705082945,46.509943024903414,43.68368393817206
1,Deaths,95,United Kingdom,2,Female,12,35-39 years,508,Chronic respiratory diseases,1,Number,1980,25.518213304127798,26.473410394021087,24.6807780919908
1,Deaths,95,United Kingdom,1,Male,13,40-44 years,508,Chronic respiratory diseases,1,Number,1980,79.32129521082928,81.8604675926227,76.13249487605431
1,Deaths,95,United Kingdom,2,Female,13,40-44 years,508,Chronic respiratory diseases,1,Number,1980,54.029531398337646,55.88717233243453,52.431144014807664
1,Deaths,95,United Kingdom,1,Male,14,45-49 years,508,Chronic respiratory diseases,1,Number,1980,168.830641758722,174.56439257049394,162.74564565476473
1,Deaths,95,United Kingdom,2,Female,14,45-49 years,508,Chronic respiratory diseases,1,Number,1980,119.66818587935504,124.04797538837855,115.72802075405794
1,Deaths,95,United Kingdom,1,Male,15,50-54 years,508,Chronic respiratory diseases,1,Number,1980,424.0247538310721,435.567884557359,410.6934849721757
1,Deaths,95,United Kingdom,2,Female,15,50-54 years,508,Chronic respiratory diseases,1,Number,1980,284.5528458865937,292.8350433659184,276.3920405514032
1,Deaths,95,United Kingdom,1,Male,25,50-69 years,508,Chronic respiratory diseases,1,Number,1980,6359.166695994185,6497.7938456452985,6229.597293334198
1,Deaths,95,United Kingdom,2,Female,25,50-69 years,508,Chronic respiratory diseases,1,Number,1980,2938.5175617081386,2996.744953678365,2862.022928945317
1,Deaths,95,United Kingdom,1,Male,8,15-19 years,508,Chronic respiratory diseases,1,Number,1982,35.70420371264981,37.02565432020187,34.0678073204766
1,Deaths,95,United Kingdom,2,Female,8,15-19 years,508,Chronic respiratory diseases,1,Number,1982,14.884274294856368,15.414038755977783,14.415823303420076
1,Deaths,95,United Kingdom,1,Male,9,20-24 years,508,Chronic respiratory diseases,1,Number,1982,30.527926313166738,32.447291572298994,29.253214020562737
1,Deaths,95,United Kingdom,2,Female,9,20-24 years,508,Chronic respiratory diseases,1,Number,1982,15.956201163557582,16.400253487385,15.472110271710186
1,Deaths,95,United Kingdom,1,Male,10,25-29 years,508,Chronic respiratory diseases,1,Number,1982,28.950608490408754,30.144887050554146,28.121244201289617
1,Deaths,95,United Kingdom,2,Female,10,25-29 years,508,Chronic respiratory diseases,1,Number,1982,15.820057222457983,16.197729535563,15.446693396050804
1,Deaths,95,United Kingdom,1,Male,11,30-34 years,508,Chronic respiratory diseases,1,Number,1982,32.58418985679144,33.55097799529412,31.725034153461987
1,Deaths,95,United Kingdom,2,Female,11,30-34 years,508,Chronic respiratory diseases,1,Number,1982,18.863537940941573,19.373001383389084,18.339859266185993
1,Deaths,95,United Kingdom,1,Male,12,35-39 years,508,Chronic respiratory diseases,1,Number,1982,44.67102156271537,46.03959698030349,43.427262493676906
1,Deaths,95,United Kingdom,2,Female,12,35-39 years,508,Chronic respiratory diseases,1,Number,1982,27.87749137602449,28.62823487631646,27.075768998372325
1,Deaths,95,United Kingdom,1,Male,13,40-44 years,508,Chronic respiratory diseases,1,Number,1982,75.63312948057361,77.62265110477134,73.42190030541856
1,Deaths,95,United Kingdom,2,Female,13,40-44 years,508,Chronic respiratory diseases,1,Number,1982,51.50770845516883,53.050772171287576,50.13435681974466
1,Deaths,95,United Kingdom,1,Male,14,45-49 years,508,Chronic respiratory diseases,1,Number,1982,163.0011739522256,167.52696665433163,159.08542016988255
1,Deaths,95,United Kingdom,2,Female,14,45-49 years,508,Chronic respiratory diseases,1,Number,1982,115.98149742562363,119.2366219174937,112.78946166580798
1,Deaths,95,United Kingdom,1,Male,15,50-54 years,508,Chronic respiratory diseases,1,Number,1982,396.0434402944834,405.5516601461345,386.77794773913126
1,Deaths,95,United Kingdom,2,Female,15,50-54 years,508,Chronic respiratory diseases,1,Number,1982,282.132753406318,289.6481993747735,274.80972909325936
1,Deaths,95,United Kingdom,1,Male,25,50-69 years,508,Chronic respiratory diseases,1,Number,1982,6203.262061381601,6306.149105864687,6078.26247706328
1,Deaths,95,United Kingdom,2,Female,25,50-69 years,508,Chronic respiratory diseases,1,Number,1982,3040.7572927817055,3095.4482647480777,2973.0840792677404
1,Deaths,95,United Kingdom,1,Male,8,15-19 years,508,Chronic respiratory diseases,1,Number,1986,30.62605077763835,31.606390749688,29.631481706282763
1,Deaths,95,United Kingdom,2,Female,8,15-19 years,508,Chronic respiratory diseases,1,Number,1986,16.384066482181584,16.87869171193587,15.931689342004447
1,Deaths,95,United Kingdom,1,Male,9,20-24 years,508,Chronic respiratory diseases,1,Number,1986,33.53997216649282,35.19532569348964,32.440392161953184
1,Deaths,95,United Kingdom,2,Female,9,20-24 years,508,Chronic respiratory diseases,1,Number,1986,18.884700156864355,19.426493454505117,18.272023821479845
1,Deaths,95,United Kingdom,1,Male,10,25-29 years,508,Chronic respiratory diseases,1,Number,1986,30.103958049300527,31.520242888439796,29.087320380583893
1,Deaths,95,United Kingdom,2,Female,10,25-29 years,508,Chronic respiratory diseases,1,Number,1986,16.0500550953648,16.511313846661515,15.577251755272242
