Entity,Code,Year,Annual CO₂ emissions including land-use change
China,CHN,1980,2554014700
China,CHN,1981,2466619000
China,CHN,1982,2551509000
China,CHN,1983,2588784400
China,CHN,1984,2699097600
China,CHN,1985,2770464300
China,CHN,1986,2855445500
China,CHN,1987,2974539800
China,CHN,1988,3154797800
China,CHN,1989,3215552000
China,CHN,1990,3252398800
China,CHN,1991,3330301200
China,CHN,1992,3528995800
China,CHN,1993,3702735400
China,CHN,1994,3997346600
China,CHN,1995,4160353500
China,CHN,1996,4343860000
China,CHN,1997,4384324600
China,CHN,1998,4216270300
China,CHN,1999,4339629600
China,CHN,2000,4259394300
China,CHN,2001,4221177600
China,CHN,2002,4488690700
China,CHN,2003,5192515600
China,CHN,2004,5579754500
China,CHN,2005,6207762400
China,CHN,2006,6824091000
China,CHN,2007,7294759000
China,CHN,2008,7814796300
China,CHN,2009,8211935000
China,CHN,2010,8579336700
China,CHN,2011,9549341000
China,CHN,2012,9795438000
China,CHN,2013,9973596000
China,CHN,2014,9859566000
China,CHN,2015,9828969000
China,CHN,2016,9618938000
China,CHN,2017,9826776000
China,CHN,2018,10156673000
China,CHN,2019,10488223000
China,CHN,2020,10653655000
China,CHN,2021,11169235000
Greece,GRC,1980,55426744
Greece,GRC,1981,52990670
Greece,GRC,1982,52825244
Greece,GRC,1983,58900160
Greece,GRC,1984,58047572
Greece,GRC,1985,61246836
Greece,GRC,1986,59781532
Greece,GRC,1987,64025150
Greece,GRC,1988,71775064
Greece,GRC,1989,76012776
Greece,GRC,1990,85413560
Greece,GRC,1991,86593610
Greece,GRC,1992,85532470
Greece,GRC,1993,84797590
Greece,GRC,1994,87199180
Greece,GRC,1995,87428160
Greece,GRC,1996,87378430
Greece,GRC,1997,90313544
Greece,GRC,1998,94246024
Greece,GRC,1999,92475600
Greece,GRC,2000,97479920
Greece,GRC,2001,99338870
Greece,GRC,2002,98607740
Greece,GRC,2003,100534740
Greece,GRC,2004,101783620
Greece,GRC,2005,104484610
Greece,GRC,2006,102389464
Greece,GRC,2007,104359410
Greece,GRC,2008,100642740
Greece,GRC,2009,95244184
Greece,GRC,2010,87272216
Greece,GRC,2011,84513464
Greece,GRC,2012,81077690
Greece,GRC,2013,62083704
Greece,GRC,2014,60704920
Greece,GRC,2015,54711600
Greece,GRC,2016,48854690
Greece,GRC,2017,50867176
Greece,GRC,2018,69869816
Greece,GRC,2019,54043170
Greece,GRC,2020,41911900
Greece,GRC,2021,43642572
India,IND,1980,484421250
India,IND,1981,540794600
India,IND,1982,475277380
India,IND,1983,676772000
India,IND,1984,556335600
India,IND,1985,558767100
India,IND,1986,627170800
India,IND,1987,587029000
India,IND,1988,716182000
India,IND,1989,708839360
India,IND,1990,751029700
India,IND,1991,751029500
India,IND,1992,824228100
India,IND,1993,809757500
India,IND,1994,832007500
India,IND,1995,846720200
India,IND,1996,986750340
India,IND,1997,960649600
India,IND,1998,971868800
India,IND,1999,1044340600
India,IND,2000,1178326100
India,IND,2001,1142869600
India,IND,2002,1117956000
India,IND,2003,1175457700
India,IND,2004,1204298400
India,IND,2005,1238216200
India,IND,2006,1330757800
India,IND,2007,1484245800
India,IND,2008,1639076700
India,IND,2009,1694796900
India,IND,2010,1794289900
India,IND,2011,1862740100
India,IND,2012,2085191000
India,IND,2013,2213367300
India,IND,2014,2242132200
India,IND,2015,2367592200
India,IND,2016,2476599000
India,IND,2017,2505168600
India,IND,2018,2697299700
India,IND,2019,2665538300
India,IND,2020,2460550700
India,IND,2021,2687043300
United Kingdom,GBR,1980,581803900
United Kingdom,GBR,1981,563081200
United Kingdom,GBR,1982,550113900
United Kingdom,GBR,1983,548656960
United Kingdom,GBR,1984,534313000
United Kingdom,GBR,1985,562457660
United Kingdom,GBR,1986,571567740
United Kingdom,GBR,1987,593510000
United Kingdom,GBR,1988,578688000
United Kingdom,GBR,1989,587068500
United Kingdom,GBR,1990,606147260
United Kingdom,GBR,1991,612229000
United Kingdom,GBR,1992,584677570
United Kingdom,GBR,1993,571761340
United Kingdom,GBR,1994,570281860
United Kingdom,GBR,1995,573660600
United Kingdom,GBR,1996,600330700
United Kingdom,GBR,1997,569168300
United Kingdom,GBR,1998,563731400
United Kingdom,GBR,1999,556150660
United Kingdom,GBR,2000,569831740
United Kingdom,GBR,2001,578020700
United Kingdom,GBR,2002,562197900
United Kingdom,GBR,2003,576095500
United Kingdom,GBR,2004,580123140
United Kingdom,GBR,2005,614030600
United Kingdom,GBR,2006,590124160
United Kingdom,GBR,2007,577820540
United Kingdom,GBR,2008,556176600
United Kingdom,GBR,2009,501749150
United Kingdom,GBR,2010,518772380
United Kingdom,GBR,2011,480395940
United Kingdom,GBR,2012,504512800
United Kingdom,GBR,2013,493524450
United Kingdom,GBR,2014,450839300
United Kingdom,GBR,2015,442374750
United Kingdom,GBR,2016,418571230
United Kingdom,GBR,2017,400950500
United Kingdom,GBR,2018,398572540
United Kingdom,GBR,2019,376257380
United Kingdom,GBR,2020,335360700
United Kingdom,GBR,2021,354358620
United States,USA,1980,5073771000
United States,USA,1981,4946007600
United States,USA,1982,4700623000
United States,USA,1983,4705079000
United States,USA,1984,4942934500
United States,USA,1985,4939721700
United States,USA,1986,4880515000
United States,USA,1987,5083933700
United States,USA,1988,5323609600
United States,USA,1989,5402091500
United States,USA,1990,5407962000
United States,USA,1991,5296487400
United States,USA,1992,5358079000
United States,USA,1993,5441001500
