Entity,Code,Year,Annual CO₂ emissions from other industry,Annual CO₂ emissions from flaring,Annual CO₂ emissions from cement,Annual CO₂ emissions from gas,Annual CO₂ emissions from oil,Annual CO₂ emissions from coal,Annual CO₂ emissions from other industry,Annual CO₂ emissions from flaring,Annual CO₂ emissions from cement,Annual CO₂ emissions from gas,Annual CO₂ emissions from oil,Annual CO₂ emissions from coal
China,CHN,1980,35586176,3011808,32712364,27318784,273202500,1122664300,35586176,3011808,32712364,27318784,273202500,1122664300
China,CHN,1981,34128984,2689383,33902720,24387646,256374380,1125004800,34128984,2689383,33902720,24387646,256374380,1125004800
China,CHN,1982,35624524,2524496,38869884,22900000,257810030,1248856000,35624524,2524496,38869884,22900000,257810030,1248856000
China,CHN,1983,38366344,2671056,44126480,23438608,263771360,1321843100,38366344,2671056,44126480,23438608,263771360,1321843100
China,CHN,1984,41673788,3213328,50065790,24226368,271451100,1454197600,41673788,3213328,50065790,24226368,271451100,1454197600
China,CHN,1985,44856604,0,59301036,24819936,284593900,1584511500,44856604,0,59301036,24819936,284593900,1584511500
China,CHN,1986,50040184,0,67361980,26351536,303068300,1657391400,50040184,0,67361980,26351536,303068300,1657391400
China,CHN,1987,63916944,0,75428700,26600640,321523330,1770268900,63916944,0,75428700,26600640,321523330,1770268900
China,CHN,1988,77793704,0,84960640,27311456,343129950,1892697900,77793704,0,84960640,27311456,343129950,1892697900
China,CHN,1989,75266600,0,84886090,28821068,354441250,1920239400,75266600,0,84886090,28821068,354441250,1920239400
China,CHN,1990,64065400,0,84513096,29301008,330291300,1976684000,64065400,0,84513096,29301008,330291300,1976684000
China,CHN,1991,68066230,0,101305070,30777600,356027230,2049920100,68066230,0,101305070,30777600,356027230,2049920100
China,CHN,1992,77595500,0,122445144,30238950,385793020,2114715100,77595500,0,122445144,30238950,385793020,2114715100
China,CHN,1993,85855490,0,142773800,35727664,428548770,2228745500,85855490,0,142773800,35727664,428548770,2228745500
China,CHN,1994,89759640,3736648,164376770,41568028,423711780,2380586000,89759640,3736648,164376770,41568028,423711780,2380586000
China,CHN,1995,92851920,3728346,184636900,42436450,468229900,2569753600,92851920,3728346,184636900,42436450,468229900,2569753600
China,CHN,1996,94887110,5584443,192853170,44469970,510622370,2660401200,94887110,5584443,192853170,44469970,510622370,2660401200
China,CHN,1997,95620000,5424943,202873740,44158530,557961200,2609555700,95620000,5424943,202873740,44158530,557961200,2609555700
China,CHN,1998,94552810,4132161.2,211368720,50500910,559261950,2444771000,94552810,4132161.2,211368720,50500910,559261950,2444771000
China,CHN,1999,92205000,4432534,228321980,54571560,596751400,2580992300,92205000,4432534,228321980,54571560,596751400,2580992300
China,CHN,2000,89857180,4736708,244388200,59796480,648685600,2601762600,89857180,4736708,244388200,59796480,648685600,2601762600
China,CHN,2001,88790000,4782715,270828200,67157460,659300160,2637651500,88790000,4782715,270828200,67157460,659300160,2637651500
China,CHN,2002,90156000,4485693,282688220,53992704,653086000,3018637600,90156000,4485693,282688220,53992704,653086000,3018637600
China,CHN,2003,92703590,5179579,353679260,60745456,727098800,3601711900,92703590,5179579,353679260,60745456,727098800,3601711900
China,CHN,2004,97860240,5192006,368396350,71521280,839092700,3835288300,97860240,5192006,368396350,71521280,839092700,3835288300
China,CHN,2005,105386904,5587519,411648770,84957170,850172540,4424353300,105386904,5587519,411648770,84957170,850172540,4424353300
