Entity,Code,Year,Coal consumption - TWh
China,CHN,1980,3539.019
China,CHN,1981,3520.1948
China,CHN,1982,3724.8376
China,CHN,1983,3989.0044
China,CHN,1984,4338.266
China,CHN,1985,4736.2646
China,CHN,1986,4951.424
China,CHN,1987,5372.2417
China,CHN,1988,5771.2236
China,CHN,1989,6046.902
China,CHN,1990,6134.5166
China,CHN,1991,6433.4272
China,CHN,1992,6731.4966
China,CHN,1993,7170.3564
China,CHN,1994,7641.667
China,CHN,1995,7736.85
China,CHN,1996,8095.389
China,CHN,1997,7931.912
China,CHN,1998,7871.717
China,CHN,1999,8099.032
China,CHN,2000,8211.406
China,CHN,2001,8635.754
China,CHN,2002,9467.457
China,CHN,2003,11283.059
China,CHN,2004,13155.28
China,CHN,2005,15405.105
China,CHN,2006,16918.38
China,CHN,2007,18423.912
China,CHN,2008,18715.92
China,CHN,2009,19605.02
China,CHN,2010,20340.541
China,CHN,2011,22143.604
China,CHN,2012,22422.357
China,CHN,2013,22902.13
China,CHN,2014,22804.703
China,CHN,2015,22329.041
China,CHN,2016,21675.78
China,CHN,2017,21915.443
China,CHN,2018,22352.146
China,CHN,2019,22922.236
China,CHN,2020,23402.553
China,CHN,2021,24315.475
Greece,GRC,1980,46.06643
Greece,GRC,1981,45.601227
Greece,GRC,1982,46.29903
Greece,GRC,1983,56.777657
Greece,GRC,1984,60.62719
Greece,GRC,1985,70.303345
Greece,GRC,1986,67.09347
Greece,GRC,1987,76.59518
Greece,GRC,1988,85.96896
Greece,GRC,1989,92.42361
Greece,GRC,1990,93.72659
Greece,GRC,1991,90.17141
Greece,GRC,1992,94.088234
Greece,GRC,1993,94.04727
Greece,GRC,1994,94.24909
Greece,GRC,1995,93.93198
Greece,GRC,1996,91.37747
Greece,GRC,1997,98.41099
Greece,GRC,1998,102.95045
Greece,GRC,1999,99.02892
Greece,GRC,2000,104.9478
Greece,GRC,2001,108.47605
Greece,GRC,2002,104.36563
Greece,GRC,2003,104.92748
Greece,GRC,2004,107.55803
Greece,GRC,2005,106.09819
Greece,GRC,2006,97.70742
Greece,GRC,2007,103.01639
Greece,GRC,2008,96.96925
Greece,GRC,2009,98.008194
Greece,GRC,2010,91.50558
Greece,GRC,2011,91.84949
Greece,GRC,2012,94.6589
Greece,GRC,2013,81.26121
Greece,GRC,2014,78.09801
Greece,GRC,2015,65.440796
Greece,GRC,2016,50.69211
Greece,GRC,2017,55.779747
Greece,GRC,2018,54.774902
Greece,GRC,2019,37.175343
Greece,GRC,2020,21.294855
Greece,GRC,2021,19.907978
India,IND,1980,659.565
India,IND,1981,742.1424
India,IND,1982,733.90405
India,IND,1983,779.04803
India,IND,1984,818.31085
India,IND,1985,857.39703
India,IND,1986,921.24005
India,IND,1987,1011.6298
India,IND,1988,1085.5574
India,IND,1989,1179.941
India,IND,1990,1276.025
India,IND,1991,1357.8776
India,IND,1992,1438.2565
India,IND,1993,1489.6254
India,IND,1994,1537.2871
India,IND,1995,1631.6134
India,IND,1996,1678.4825
India,IND,1997,1755.3625
India,IND,1998,1813.659
India,IND,1999,1796.674
India,IND,2000,1911.1661
India,IND,2001,1926.9531
India,IND,2002,2012.7899
India,IND,2003,2107.9834
India,IND,2004,2243.5286
India,IND,2005,2456.1133
India,IND,2006,2549.8647
India,IND,2007,2790.2725
India,IND,2008,3020.762
India,IND,2009,3268.2656
India,IND,2010,3348.546
India,IND,2011,3478.864
India,IND,2012,3787.818
India,IND,2013,4009.7288
India,IND,2014,4401.073
India,IND,2015,4490.47
India,IND,2016,4587.692
India,IND,2017,4737.1567
India,IND,2018,4981.6016
India,IND,2019,4989.023
India,IND,2020,4714.672
India,IND,2021,5352.792
United Kingdom,GBR,1980,826.48596
United Kingdom,GBR,1981,821.99677
United Kingdom,GBR,1982,766.63794
United Kingdom,GBR,1983,773.76715
United Kingdom,GBR,1984,549.8198
United Kingdom,GBR,1985,731.2828
United Kingdom,GBR,1986,789.77
United Kingdom,GBR,1987,809.08746
United Kingdom,GBR,1988,785.39716
United Kingdom,GBR,1989,755.99646
United Kingdom,GBR,1990,755.3103
United Kingdom,GBR,1991,756.5896
United Kingdom,GBR,1992,711.3838
United Kingdom,GBR,1993,619.4836
United Kingdom,GBR,1994,578.4064
United Kingdom,GBR,1995,551.91327
United Kingdom,GBR,1996,515.97656
United Kingdom,GBR,1997,460.17584
United Kingdom,GBR,1998,448.6912
United Kingdom,GBR,1999,398.9171
United Kingdom,GBR,2000,427.1478
United Kingdom,GBR,2001,452.54538
United Kingdom,GBR,2002,415.30847
United Kingdom,GBR,2003,443.14835
United Kingdom,GBR,2004,432.50574
United Kingdom,GBR,2005,440.46332
United Kingdom,GBR,2006,480.9891
United Kingdom,GBR,2007,452.89124
United Kingdom,GBR,2008,420.3333
United Kingdom,GBR,2009,346.69504
United Kingdom,GBR,2010,354.80872
United Kingdom,GBR,2011,357.704
United Kingdom,GBR,2012,451.25424
United Kingdom,GBR,2013,434.92456
United Kingdom,GBR,2014,351.19412
United Kingdom,GBR,2015,277.32315
United Kingdom,GBR,2016,141.17226
United Kingdom,GBR,2017,114.2266
United Kingdom,GBR,2018,96.41525
United Kingdom,GBR,2019,68.912865
United Kingdom,GBR,2020,62.786064
United Kingdom,GBR,2021,64.24249
United States,USA,1980,4293.98
United States,USA,1981,4428.934
United States,USA,1982,4265.7964
United States,USA,1983,4425.291
United States,USA,1984,4752.76
United States,USA,1985,4866.301
United States,USA,1986,4805.599
United States,USA,1987,5013.8677
United States,USA,1988,5247.1436
United States,USA,1989,5309.3555
United States,USA,1990,5337.9976
United States,USA,1991,5287.6133
United States,USA,1992,5324.031
United States,USA,1993,5522.452
United States,USA,1994,5543.1436
United States,USA,1995,5593.053
United States,USA,1996,5847.301
United States,USA,1997,5970.778
United States,USA,1998,6029.3384
United States,USA,1999,6020.0947
United States,USA,2000,6286.536
United States,USA,2001,6101.3154
United States,USA,2002,6098.454
United States,USA,2003,6214.537
United States,USA,2004,6254.9824
United States,USA,2005,6346.9565
United States,USA,2006,6249.6826
United States,USA,2007,6333.8496
United States,USA,2008,6233.0547
United States,USA,2009,5482.3765
United States,USA,2010,5800.5415
United States,USA,2011,5473.0713
United States,USA,2012,4838.4043
United States,USA,2013,5022.2715
United States,USA,2014,5010.856
United States,USA,2015,4329.0776
United States,USA,2016,3960.741
United States,USA,2017,3852.5925
United States,USA,2018,3689.4585
United States,USA,2019,3150.46
United States,USA,2020,2556.1814
United States,USA,2021,2936.8943
