measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,6,China,1,Male,8,15-19 years,508,Chronic respiratory diseases,1,Number,1982,1139.1809786517863,1493.214512245788,883.9341720544638
1,Deaths,6,China,2,Female,8,15-19 years,508,Chronic respiratory diseases,1,Number,1982,706.0566871421986,920.4857230166166,399.3198906308659
1,Deaths,6,China,1,Male,9,20-24 years,508,Chronic respiratory diseases,1,Number,1982,833.4604189225989,1064.7985332409962,656.3760045077229
1,Deaths,6,China,2,Female,9,20-24 years,508,Chronic respiratory diseases,1,Number,1982,527.3173530149888,735.6403294439884,280.58850594818426
1,Deaths,6,China,1,Male,10,25-29 years,508,Chronic respiratory diseases,1,Number,1982,1234.6324586539374,1588.4450678799506,986.6920302524215
1,Deaths,6,China,2,Female,10,25-29 years,508,Chronic respiratory diseases,1,Number,1982,1018.0796158227756,1433.7274503111098,534.1722224843334
1,Deaths,6,China,1,Male,11,30-34 years,508,Chronic respiratory diseases,1,Number,1982,1844.915265989685,2353.2448079205847,1467.008420224097
1,Deaths,6,China,2,Female,11,30-34 years,508,Chronic respiratory diseases,1,Number,1982,1511.085314061816,2143.528184940478,773.3633764094619
1,Deaths,6,China,1,Male,12,35-39 years,508,Chronic respiratory diseases,1,Number,1982,2774.2339952321513,3571.123909286078,2152.9364778832964
1,Deaths,6,China,2,Female,12,35-39 years,508,Chronic respiratory diseases,1,Number,1982,2092.159448609939,2934.582740989755,1133.4457624165138
1,Deaths,6,China,1,Male,13,40-44 years,508,Chronic respiratory diseases,1,Number,1982,5801.4033991235165,7503.540558974401,4472.150471961618
1,Deaths,6,China,2,Female,13,40-44 years,508,Chronic respiratory diseases,1,Number,1982,3707.348171352507,5226.099397811519,2036.0664773456467
1,Deaths,6,China,1,Male,14,45-49 years,508,Chronic respiratory diseases,1,Number,1982,9959.18175653432,13020.618888009209,7541.078231058616
1,Deaths,6,China,2,Female,14,45-49 years,508,Chronic respiratory diseases,1,Number,1982,6299.113693959082,8673.537944306736,3533.4031130056565
1,Deaths,6,China,1,Male,15,50-54 years,508,Chronic respiratory diseases,1,Number,1982,21832.22090813736,28632.68701744416,16326.859931638528
1,Deaths,6,China,2,Female,15,50-54 years,508,Chronic respiratory diseases,1,Number,1982,13752.925254680931,19079.922713001022,7843.702544878065
1,Deaths,6,China,1,Male,25,50-69 years,508,Chronic respiratory diseases,1,Number,1982,197430.7859352235,258532.57838570743,154107.0866992042
1,Deaths,6,China,2,Female,25,50-69 years,508,Chronic respiratory diseases,1,Number,1982,133908.8588688937,174757.42784219445,86036.74143179768
1,Deaths,6,China,1,Male,8,15-19 years,508,Chronic respiratory diseases,1,Number,1980,1007.1692381026156,1299.7131641903463,749.9056679633088
1,Deaths,6,China,2,Female,8,15-19 years,508,Chronic respiratory diseases,1,Number,1980,621.2231042456024,843.3422206433227,321.44056892860664
1,Deaths,6,China,1,Male,9,20-24 years,508,Chronic respiratory diseases,1,Number,1980,879.096142126682,1114.0365678222925,660.1410673873379
1,Deaths,6,China,2,Female,9,20-24 years,508,Chronic respiratory diseases,1,Number,1980,573.7751291404786,830.8432646680311,284.7113850404385
1,Deaths,6,China,1,Male,10,25-29 years,508,Chronic respiratory diseases,1,Number,1980,1250.517606071156,1550.835424079504,972.5504779165784
1,Deaths,6,China,2,Female,10,25-29 years,508,Chronic respiratory diseases,1,Number,1980,1078.491716364481,1605.6654300183675,520.5342521595188
1,Deaths,6,China,1,Male,11,30-34 years,508,Chronic respiratory diseases,1,Number,1980,1732.9488467861484,2193.281745980863,1353.1934650593298
1,Deaths,6,China,2,Female,11,30-34 years,508,Chronic respiratory diseases,1,Number,1980,1424.6730193746373,2111.7033075829404,680.2681286059949
1,Deaths,6,China,1,Male,12,35-39 years,508,Chronic respiratory diseases,1,Number,1980,2721.033304860126,3550.074891694877,1973.5863571971815
1,Deaths,6,China,2,Female,12,35-39 years,508,Chronic respiratory diseases,1,Number,1980,2059.960217520679,2954.097946935862,1004.2159047075396
1,Deaths,6,China,1,Male,13,40-44 years,508,Chronic respiratory diseases,1,Number,1980,6048.329196093814,7892.0829596123585,4447.744214337584
1,Deaths,6,China,2,Female,13,40-44 years,508,Chronic respiratory diseases,1,Number,1980,3871.31934216984,5521.97760723361,1976.154104686248
1,Deaths,6,China,1,Male,14,45-49 years,508,Chronic respiratory diseases,1,Number,1980,10118.963159020288,13799.68918746708,7383.006628585827
1,Deaths,6,China,2,Female,14,45-49 years,508,Chronic respiratory diseases,1,Number,1980,6429.255604450858,9136.07233025011,3393.0757264713534
1,Deaths,6,China,1,Male,15,50-54 years,508,Chronic respiratory diseases,1,Number,1980,21703.601677871826,28394.962697136816,15499.33690795153
1,Deaths,6,China,2,Female,15,50-54 years,508,Chronic respiratory diseases,1,Number,1980,13744.01832030633,19514.012947910247,7203.180306920597
1,Deaths,6,China,1,Male,25,50-69 years,508,Chronic respiratory diseases,1,Number,1980,194877.25677198308,254975.90179637657,143821.9781812285
1,Deaths,6,China,2,Female,25,50-69 years,508,Chronic respiratory diseases,1,Number,1980,134515.727432699,177384.11037696508,82573.32100210016
1,Deaths,6,China,1,Male,8,15-19 years,508,Chronic respiratory diseases,1,Number,1985,1128.9672655500092,1441.439143089729,860.6772078115671
1,Deaths,6,China,2,Female,8,15-19 years,508,Chronic respiratory diseases,1,Number,1985,743.6321912445206,928.88490916316,484.87328878834137
1,Deaths,6,China,1,Male,9,20-24 years,508,Chronic respiratory diseases,1,Number,1985,1036.7709125222996,1324.0628602638951,814.5324441913737
1,Deaths,6,China,2,Female,9,20-24 years,508,Chronic respiratory diseases,1,Number,1985,679.8173241666123,907.8728087593192,423.60293936398426
1,Deaths,6,China,1,Male,10,25-29 years,508,Chronic respiratory diseases,1,Number,1985,1015.3760305399333,1253.575905074587,824.7506862701827
1,Deaths,6,China,2,Female,10,25-29 years,508,Chronic respiratory diseases,1,Number,1985,818.9422657075281,1122.903994561255,494.74753052468634
1,Deaths,6,China,1,Male,11,30-34 years,508,Chronic respiratory diseases,1,Number,1985,2126.7128064580465,2669.7280922030022,1705.3931630146135
1,Deaths,6,China,2,Female,11,30-34 years,508,Chronic respiratory diseases,1,Number,1985,1731.5913233247288,2328.199813329437,996.4456182644914
1,Deaths,6,China,1,Male,12,35-39 years,508,Chronic respiratory diseases,1,Number,1985,2967.2248078628536,3776.566968109896,2360.2537700243975
1,Deaths,6,China,2,Female,12,35-39 years,508,Chronic respiratory diseases,1,Number,1985,2252.750460885703,2982.4792644330187,1345.5508937167435
1,Deaths,6,China,1,Male,13,40-44 years,508,Chronic respiratory diseases,1,Number,1985,5520.306163616928,7092.761559126404,4323.167168277487
1,Deaths,6,China,2,Female,13,40-44 years,508,Chronic respiratory diseases,1,Number,1985,3638.073276551624,4869.800697827246,2253.1032879714144
