Entity,Code,Year,total_emissions,emissions_growth,emissions_with_land_use,Annual CO₂ emissions from other industry,Annual CO₂ emissions from flaring,Annual CO₂ emissions from cement,Annual CO₂ emissions from gas,Annual CO₂ emissions from oil,Annual CO₂ emissions from coal
China,CHN,1980,1494495900,-2.0427406,2554014700,35586176.0,3011808.0,32712364.0,27318784.0,273202500,1122664300
China,CHN,1981,1476487800,-1.2049615,2466619000,34128984.0,2689383.0,33902720.0,24387646.0,256374380,1125004800
China,CHN,1982,1606585000,8.811259,2551509000,35624524.0,2524496.0,38869884.0,22900000.0,257810030,1248856000
China,CHN,1983,1694216800,5.4545403,2588784400,38366344.0,2671056.0,44126480.0,23438608.0,263771360,1321843100
China,CHN,1984,1844828000,8.889723,2699097600,41673788.0,3213328.0,50065790.0,24226368.0,271451100,1454197600
China,CHN,1985,1998083000,8.307278,2770464300,44856604.0,0.0,59301036.0,24819936.0,284593900,1584511500
China,CHN,1986,2104213400,5.3116083,2855445500,50040184.0,0.0,67361980.0,26351536.0,303068300,1657391400
China,CHN,1987,2257738500,7.2960854,2974539800,63916944.0,0.0,75428700.0,26600640.0,321523330,1770268900
China,CHN,1988,2425893600,7.447946,3154797800,77793704.0,0.0,84960640.0,27311456.0,343129950,1892697900
China,CHN,1989,2463654400,1.5565753,3215552000,75266600.0,0.0,84886090.0,28821068.0,354441250,1920239400
China,CHN,1990,2484854800,0.8605242,3252398800,64065400.0,0.0,84513096.0,29301008.0,330291300,1976684000
China,CHN,1991,2606096100,4.8792124,3330301200,68066230.0,0.0,101305070.0,30777600.0,356027230,2049920100
China,CHN,1992,2730787600,4.784608,3528995800,77595500.0,0.0,122445144.0,30238950.0,385793020,2114715100
China,CHN,1993,2921651000,6.989312,3702735400,85855490.0,0.0,142773800.0,35727664.0,428548770,2228745500
China,CHN,1994,3103739000,6.232369,3997346600,89759640.0,3736648.0,164376770.0,41568028.0,423711780,2380586000
China,CHN,1995,3361637000,8.30928,4160353500,92851920.0,3728346.0,184636900.0,42436450.0,468229900,2569753600
China,CHN,1996,3508818200,4.378259,4343860000,94887110.0,5584443.0,192853170.0,44469970.0,510622370,2660401200
China,CHN,1997,3515594200,0.19311905,4384324600,95620000.0,5424943.0,202873740.0,44158530.0,557961200,2609555700
China,CHN,1998,3364587500,-4.295337,4216270300,94552810.0,4132161.2,211368720.0,50500910.0,559261950,2444771000
China,CHN,1999,3557274600,5.7269216,4339629600,92205000.0,4432534.0,228321980.0,54571560.0,596751400,2580992300
China,CHN,2000,3649226500,2.5848985,4259394300,89857180.0,4736708.0,244388200.0,59796480.0,648685600,2601762600
China,CHN,2001,3728509700,2.1726012,4221177600,88790000.0,4782715.0,270828200.0,67157460.0,659300160,2637651500
China,CHN,2002,4103046400,10.045206,4488690700,90156000.0,4485693.0,282688220.0,53992704.0,653086000,3018637600
China,CHN,2003,4841118700,17.988396,5192515600,92703590.0,5179579.0,353679260.0,60745456.0,727098800,3601711900
China,CHN,2004,5217351000,7.7715993,5579754500,97860240.0,5192006.0,368396350.0,71521280.0,839092700,3835288300
China,CHN,2005,5882106400,12.741243,6207762400,105386904.0,5587519.0,411648770.0,84957170.0,850172540,4424353300
China,CHN,2006,6494330400,10.408247,6824091000,111055800.0,5534235.0,470086620.0,103753490.0,898533700,4905366500
China,CHN,2007,6983547400,7.53299,7294759000,116861300.0,4964769.0,514980830.0,129515070.0,927351100,5289874400
China,CHN,2008,7501497300,7.416713,7814796300,121642300.0,4665596.0,525924500.0,149674460.0,970117760,5729473000
China,CHN,2009,7891078000,5.1933765,8211935000,127721000.0,4556529.0,583560260.0,164403680.0,982347700,6028489000
China,CHN,2010,8620576000,9.244585,8579336700,116110000.0,3974086.0,639591940.0,199585330.0,1092571300,6568743000
China,CHN,2011,9532332000,10.57651,9549341000,140356510.0,3853320.0,708564300.0,245989970.0,1123858800,7309709300
China,CHN,2012,9779292000,2.5907636,9795438000,141722500.0,3732554.0,714781700.0,277599300.0,1176712000,7464744000
China,CHN,2013,9956329000,1.8103242,9973596000,156216880.0,3632474.0,748323140.0,320127360.0,1234621400,7493408000
China,CHN,2014,9990257000,0.34075975,9859566000,165223150.0,3930359.0,770283650.0,370221570.0,1255605200,7424993300
China,CHN,2015,9863457000,-1.2692332,9828969000,165219020.0,3901279.0,718559040.0,380052220.0,1328805000,7266920400
China,CHN,2016,9762714000,-1.0213792,9618938000,167927540.0,3090373.0,740776200.0,421726400.0,1357838100,7071355000
China,CHN,2017,10006343000,2.4955034,9826776000,169733220.0,2969262.0,753438800.0,486359360.0,1430586800,7163255300
China,CHN,2018,10332993000,3.2644272,10156673000,171538880.0,3408357.0,765835500.0,575368900.0,1500474000,7316367000
China,CHN,2019,10713984000,3.6871314,10488223000,177256850.0,3839250.0,819965440.0,630171400.0,1559728100,7523024000
China,CHN,2020,10905693000,1.7893314,10653655000,171538880.0,5169677.0,849975700.0,676473340.0,1523051500,7679484000
China,CHN,2021,11447913000,4.9718976,11169235000,171538880.0,4812420.0,843777300.0,765332700.0,1521109600,8141342000
Greece,GRC,1980,50888696,0.13772249,55426744,,,5817831.0,0.0,32239536,12831328
Greece,GRC,1981,50125424,-1.4998853,52990670,,,5893615.0,0.0,29956864,14274944
Greece,GRC,1982,51508770,2.7597666,52825244,,,5811363.0,216176.0,29927552,15553680
Greece,GRC,1983,54789372,6.3690186,58900160,,,6365948.0,157552.0,29099488,19166384
Greece,GRC,1984,56284932,2.7296543,58047572,,,6015283.0,172219.0,29489768,20607660
Greece,GRC,1985,59771930,6.195259,61246836,,,6032039.0,164880.0,29828624,23746384
Greece,GRC,1986,58274420,-2.505368,59781532,,,5838919.0,205184.0,27883040,24347280
Greece,GRC,1987,62576332,7.3821664,64025150,,,5718379.0,234496.0,30092432,26531024
Greece,GRC,1988,67051870,7.152128,71775064,,3664.0,5620899.0,263794.0,32069264,29094256
Greece,GRC,1989,73230810,9.215153,76012776,,3664.0,5355511.0,307791.0,36154476,31409360
Greece,GRC,1990,83438040,13.938438,85413560,1013733.0,42698.0,5761694.0,858173.0,35974604,39787136
Greece,GRC,1991,83407500,-0.036597252,86593610,980799.0,43157.0,5715767.0,832723.0,37431532,38403524
Greece,GRC,1992,84975656,1.8801093,85532470,914815.0,36297.0,5861138.0,413329.0,37255020,40495056
Greece,GRC,1993,84284960,-0.8128166,84797590,855204.0,29467.0,5875028.0,318099.0,37043284,40163876
Greece,GRC,1994,86430260,2.5452852,87199180,786310.0,25773.0,5916409.0,200349.0,37367892,42133524
Greece,GRC,1995,86963200,0.616622,87428160,829708.0,22554.0,6356392.0,193883.0,39133524,40427144
Greece,GRC,1996,89114950,2.47432,87378430,802545.0,24955.0,6374251.0,207611.0,42475536,39230056
Greece,GRC,1997,93801560,5.259061,90313544,847935.0,22653.0,6407695.0,428030.0,43466476,42628770
Greece,GRC,1998,98621790,5.138755,94246024,911564.0,15608.0,6383235.0,1645493.0,45109690,44556200
Greece,GRC,1999,97934820,-0.69657564,92475600,918902.0,847.0,6366364.0,2848433.0,44716436,43083836
Greece,GRC,2000,102973170,5.144596,97479920,955953.0,13966.0,6536763.0,3982331.0,45632760,45851396
